# SYSTEM INFORMATION FOLLOWS
# emon db : unknown
# num_packages : 1
# num_modules_per_package : 1
# num_cores_per_package : 16
# num_logic_processor_per_core : 2
# device core : num_events 3, num_unit 1
# tsc_freq : 2995.20 MHz
# ufs_freq : N/A MHz
# END OF SYSTEM INFORMATION
# GROUPING INFORMATION FOLLOWS
# group 0 : INST_RETIRED.ANY, CPU_CLK_UNHALTED.THREAD, CPU_CLK_UNHALTED.REF_TSC
# END OF GROUPING INFORMATIONS
# START OF COLLECTION
timestamp;;package0;;;;;;
;;core;;;;;;
epoch;timestamp;CPU0;;;CPU1;;;
;;INST_RETIRED.ANY;CPU_CLK_UNHALTED.THREAD;CPU_CLK_UNHALTED.REF_TSC;INST_RETIRED.ANY;CPU_CLK_UNHALTED.THREAD;CPU_CLK_UNHALTED.REF_TSC;
1663594627975;46765209;105768;87310;121758;22544;36756;20358;
1663594627991;46773005;104367;84951;124488;22544;36245;20046;
1663594628007;46770003;104136;83393;122694;22544;36463;20280;
1663594628022;46776555;105133;84728;128700;22544;36460;20280;
1663594628042;59514217;260254;22726384;12734592;65026;96571;86970;
1663594628058;46701554;123201;112266;237978;87627;111936;96096;
1663594628073;46768349;104943;86327;120588;22638;37230;20670;
1663594628089;46771251;105902;85918;119730;22548;36827;20514;
1663594628105;46794739;108271;104337;143052;43322;82668;76830;
1663594628120;46749381;104158;83804;121992;22589;36684;20358;
1663594628136;46768191;104124;84065;119184;22544;36660;20358;
1663594628151;46782723;100087;98813;131508;62780;86623;86502;
1663594628167;46794938;25823135;27072575;15157974;53169;68426;39390;
1663594628183;46730731;112950;90517;135720;22869;34078;27768;
1663594628198;46755975;120141;98493;179712;22558;35070;23712;
1663594628214;46781083;96243;92920;128934;47500;87750;97890;
1663594628230;46765893;95834;92571;125034;55256;85826;95394;
1663594628245;46785932;109069;99741;160524;25638498;26915231;14963130;
1663594628261;46743899;104064;80826;143364;22958;34205;27768;
1663594628276;46749049;104368;81950;123396;22558;34823;23556;
1663594628292;46771523;104201;84070;119184;22544;36561;20358;
1663594628308;46779263;105770;85303;127452;22544;36159;20124;
1663594628323;46771339;113074;94310;127764;22558;36478;20280;
1663594628339;46764631;119572;101570;177216;22544;36242;20202;
1663594628355;46782201;105132;84817;131664;22589;36849;20592;
1663594628370;46759539;104072;83786;119808;22544;36156;20124;
1663594628386;46775869;104888;83565;124488;22544;36331;20046;
1663594628401;46767525;104201;83526;120900;22544;36282;20124;
1663594628417;46770789;105746;84795;120276;22546;36780;20358;
1663594628433;46796555;70466;114060;148278;95192;105125;114816;
1663594628448;46760980;103345;82921;139698;21234;30113;16692;
1663594628464;46759027;112958;90365;128856;22544;36795;20514;
1663594628480;46761215;118293;100759;129012;22544;36609;20280;
1663594628495;46773545;104490;83579;121836;22589;36549;20358;
1663594628511;46776235;104098;82778;126516;22544;36226;20124;
1663594628526;46763363;105720;84819;118716;22550;36145;20124;
1663594628542;46790595;104908;83992;138450;93412;81137;45006;
